Authors,Titles,Profiles,Publications,Year of Publication
,Accessing specialist support to stop smoking in pregnancy: A qualitative study exploring engagement with UK-based stop smoking services,,https://pureportal.coventry.ac.uk/en/publications/accessing-specialist-support-to-stop-smoking-in-pregnancy-a-quali,Sep 2022
"Turner, A.,Coad, J.",Acute paediatric inpatient care of children and young people admitted with self-harm or eating disorders:  A single centre evaluation,"https://pureportal.coventry.ac.uk/en/persons/andy-turner,https://pureportal.coventry.ac.uk/en/persons/jane-coad",https://pureportal.coventry.ac.uk/en/publications/acute-paediatric-inpatient-care-of-children-and-young-people-admi,15 Jun 2022
"Clark, C. C. T.",A daytime 40-min nap opportunity after a simulated late evening soccer match reduces the perception of fatigue and improves 5-m shuttle run performance,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/a-daytime-40-min-nap-opportunity-after-a-simulated-late-evening-s,2022
,Adolescent transport and unintentional injuries: a systematic analysis using the Global Burden of Disease Study 2019,,https://pureportal.coventry.ac.uk/en/publications/adolescent-transport-and-unintentional-injuries-a-systematic-anal,Aug 2022
,"Age–sex differences in the global burden of lower respiratory infections and risk factors, 1990–2019: results from the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/agesex-differences-in-the-global-burden-of-lower-respiratory-infe,Nov 2022
"Wang, J.",A Green Stackelberg-game Incentive Mechanism for Multi-service Exchange in Mobile Crowdsensing,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/a-green-stackelberg-game-incentive-mechanism-for-multi-service-ex,31 May 2022
"Shah, S. A.",AI-Driven Lightweight Real-Time SDR Sensing System for Anomalous Respiration Identification using Ensemble Learning,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/ai-driven-lightweight-real-time-sdr-sensing-system-for-anomalous-,29 Sep 2022
"Liu, H.",A phantom study of a protective trolley for neonatal radiographic imaging: new equipment to protect the operator from scatter radiation,https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/publications/a-phantom-study-of-a-protective-trolley-for-neonatal-radiographic,26 Aug 2022
"Liu, H.,Zheng, D.",A preliminary observation on rod cell photobiomodulation in treating diabetic macular edema,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/a-preliminary-observation-on-rod-cell-photobiomodulation-in-treat,26 Apr 2022
,A Qualitative Content Analysis of Online Public Mental Health Resources for COVID-19,,https://pureportal.coventry.ac.uk/en/publications/a-qualitative-content-analysis-of-online-public-mental-health-res,24 Feb 2022
"Clark, C. C. T.",A randomized triple-blind controlled clinical trial evaluation of sitagliptin in the treatment of patients with non-alcoholic fatty liver diseases without diabetes,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/a-randomized-triple-blind-controlled-clinical-trial-evaluation-of,28 Jul 2022
"Clark, C. C. T.",Are there any interactions between modified Nordic-style diet score and MC4R polymorphism on cardiovascular risk factors among overweight and obese women? A cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/are-there-any-interactions-between-modified-nordic-style-diet-sco,1 Sep 2022
"Allen, J.",Assessing hemodynamics from the photoplethysmogram to gain insights into vascular age: a review from VascAgeNet,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/assessing-hemodynamics-from-the-photoplethysmogram-to-gain-insigh,1 Apr 2022
"Wark, P.",Assessment of clinical information quality in digital health technologies: an international eDelphi study,https://pureportal.coventry.ac.uk/en/persons/petra-wark,https://pureportal.coventry.ac.uk/en/publications/assessment-of-clinical-information-quality-in-digital-health-tech,17 Nov 2022
"Clark, C. C. T.",Association of Physical Activity with Anthropometrics Variables and Health-Related Risks in Healthy Male Smokers,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/association-of-physical-activity-with-anthropometrics-variables-a,7 Jun 2022
"Clark, C. CT.","Associations between adherence to the MIND diet and prevalence of psychological disorders, and sleep disorders severity among obese and overweight women: A cross-sectional study",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/associations-between-adherence-to-the-mind-diet-and-prevalence-of,21 Sep 2022
